key,cluster,membership_probability,base_correct,full_correct,n_evidence_values
question_0000,0,0.7435518548175587,False,False,11
question_0003,0,0.8222278794044077,False,False,12
question_0009,0,0.9866592429507652,False,False,12
question_0010,0,0.9385781715893825,False,False,10
question_0011,0,0.9659596903619174,False,False,13
question_0015,1,0.9999916041788901,False,False,11
question_0017,0,0.9917068345855078,False,False,15
question_0018,0,0.9853241746510949,False,False,10
question_0020,0,0.9737926676922122,False,False,9
question_0021,1,0.9999938432968799,False,False,11
question_0022,0,0.9522097296167847,False,True,12
question_0026,0,0.9517605588939688,False,True,7
question_0027,0,0.9952576857795291,False,True,14
question_0032,1,0.9999450724282749,False,False,14
question_0034,0,0.992797451634462,False,False,10
question_0035,1,0.9999317930997054,False,True,11
question_0036,0,0.9965090059569937,False,False,9
question_0038,0,0.9918424966585894,False,False,13
question_0039,1,0.5089980848194341,False,False,12
question_0041,0,0.9899595865673686,False,True,11
question_0043,1,0.666129895218425,False,False,10
question_0044,0,0.881487505534521,False,True,8
question_0049,1,0.9063166615568737,False,False,13
question_0051,0,0.9844763247920099,False,False,11
question_0052,1,0.8834600786441793,False,False,10
question_0053,0,0.9949561796824427,False,False,9
question_0054,0,0.9932801173323363,False,False,14
question_0055,0,0.9844385961955163,False,False,8
question_0056,0,0.9896313207848122,False,True,10
question_0057,1,0.9773568761506924,False,False,10
question_0058,0,0.9946083771537733,False,False,10
question_0063,1,0.9988018939358648,False,True,13
question_0064,0,0.9287539751211213,False,False,10
question_0066,0,0.9940224301643852,False,False,11
question_0068,0,0.9724514251146472,False,False,9
question_0072,1,0.9266209393851113,False,False,13
question_0075,1,0.9999999997613251,False,True,15
question_0076,0,0.9784353467429934,False,False,10
question_0077,1,0.987659786337859,False,True,14
question_0078,0,0.9926740924772738,False,True,12
question_0080,1,0.5535689814390395,False,True,7
question_0083,0,0.7541490652125731,False,True,8
question_0085,0,0.9661860890959214,False,False,8
question_0086,1,0.9729245368548364,False,True,13
question_0089,1,0.7080335337078963,False,True,10
question_0092,0,0.9947216396978903,False,True,11
question_0097,1,0.999992443617149,False,False,7
question_0099,0,0.911732602190271,False,False,8
question_0101,1,0.8826990248712363,False,True,10
question_0102,0,0.9770605529844024,False,False,12
question_0104,1,0.9999999355662496,False,True,10
question_0105,0,0.9898040474127928,False,False,12
question_0106,0,0.9482720966826131,False,True,11
question_0107,0,0.9937770069943413,False,False,10
question_0109,0,0.9940754128543066,False,False,11
question_0110,0,0.7869599073968035,False,False,8
question_0112,0,0.5650229859477046,False,False,10
question_0113,0,0.8954019559134018,False,True,13
question_0114,0,0.9489320237811114,False,True,10
question_0115,0,0.9667342205296486,False,True,10
question_0116,0,0.7324151104963708,False,False,7
question_0117,0,0.9808520113865916,False,False,11
question_0119,0,0.9622737335990237,False,True,8
question_0121,0,0.9236341789198291,False,True,13
question_0122,0,0.9886954826312292,False,False,11
question_0123,0,0.9824169837795411,False,False,13
question_0124,0,0.9752231650053796,False,False,9
question_0128,0,0.9494808175300831,False,True,8
question_0132,1,0.525888330680946,False,True,12
question_0133,0,0.8344165420725136,False,True,10
question_0134,0,0.9379209130751318,False,False,8
question_0135,0,0.9798430959222227,False,False,10
question_0136,0,0.9450535571132825,False,False,12
question_0139,0,0.9618983836943971,False,True,10
question_0141,0,0.9908784996475692,False,False,9
question_0142,0,0.993946687257325,False,True,9
question_0144,0,0.989771255807394,False,True,14
question_0145,0,0.9971107568236085,False,True,13
question_0146,0,0.9714357990400635,False,False,12
question_0147,0,0.9689584303792299,False,True,10
question_0148,0,0.9779018681354833,False,False,9
question_0149,0,0.792541040915576,False,False,17
question_0150,0,0.9831009041017958,False,False,10
question_0151,1,0.9999999999996305,False,True,7
question_0152,0,0.9954439060102837,False,False,11
question_0153,1,0.8159426167626025,False,False,7
question_0154,1,0.6939657172927617,False,True,10
question_0157,1,0.999991426557574,False,False,11
question_0159,0,0.9461728106536021,False,True,9
question_0160,1,0.9355206357393943,False,True,9
question_0162,0,0.9166354007015485,False,False,11
question_0164,1,0.9961273048481154,False,True,12
question_0165,0,0.9953539324235127,False,False,11
question_0167,0,0.8703029313530555,False,True,10
question_0168,0,0.9977962064483067,False,False,12
question_0169,0,0.7510054603784109,False,False,11
question_0171,1,0.9999999999990372,False,True,12
question_0172,0,0.9423827775384979,False,True,7
question_0177,0,0.9932756769223934,False,False,11
