id,prediction_original,original_logprob_1,original_logprob_2,original_prob_1,original_prob_2,probability_method,n_spans,n_delete_uncertain,n_delete_option_flips,n_informative_deletions,n_valid_negations,predicted_hallucination,decision,correct_option_eval_only,true_hallucination,candidate_index,candidate_text,span_start,span_end,deleted_prompt,delete_prediction,delete_logprob_1,delete_logprob_2,delete_logprob_3,delete_prob_1,delete_prob_2,delete_prob_3,delete_choice_margin,delete_uncertain,delete_person_flip,delete_same_as_original,delete_flip,deletion_stage_pass,deletion_stage_reason,selected_for_negation,negated_sentence,negated_prompt,rewrite_valid,negation_notes,negation_prediction,negation_logprob_1,negation_logprob_2,negation_logprob_3,negation_prob_1,negation_prob_2,negation_prob_3,negation_choice_margin,negation_uncertain,negation_person_flip,negation_same_as_original,negation_flip,method_consistent,error
1,1,-0.3184537311185346,-1.2992829841302609,0.7272727272727273,0.2727272727272727,sampling,5,0,2,2,2,True,negation_nonflip,1,False,0,The motorcycle title correction is ready.,10,51,"Scenario The clerk is waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
1,1,-0.3184537311185346,-1.2992829841302609,0.7272727272727273,0.2727272727272727,sampling,5,0,2,2,2,True,negation_nonflip,1,False,1,The clerk is waiting in the marked lane,52,91,"Scenario: The motorcycle title correction is ready. to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",2,-1.5260563034950494,-0.3022808718729337,-3.1354942159291497,0.21739130434782608,0.7391304347826086,0.043478260869565216,1.2237754316221157,False,True,False,True,True,delete_person_flip,True,The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is not waiting in the marked lane to compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
You must choose Option1 or Option2. Output only 1 or 2; never output 3.",True,"Minimal negation applied by adding 'not' after the auxiliary verb 'is'. All entities, nouns, descriptions, and unrelated facts are preserved.",1,-0.04652001563489282,-3.0910424533583156,,0.9545454545454546,0.045454545454545456,,3.044522437723423,False,False,True,False,True,
1,1,-0.3184537311185346,-1.2992829841302609,0.7272727272727273,0.2727272727272727,sampling,5,0,2,2,2,True,negation_nonflip,1,False,2,to compare the frame VIN,92,116,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",2,-1.0560526742493137,-0.496436886313891,-3.1354942159291497,0.34782608695652173,0.6086956521739131,0.043478260869565216,0.5596157879354227,False,True,False,True,True,delete_person_flip,True,The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it.,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to not compare the frame VIN with the corrected title before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
You must choose Option1 or Option2. Output only 1 or 2; never output 3.",True,"Negated the infinitive phrase 'to compare' by adding 'not'. The negation is minimal and preserves all entities (clerk, marked lane, frame VIN, corrected title) and facts.",2,-1.1451323043030026,-0.38299225225610584,,0.3181818181818182,0.6818181818181818,,0.7621400520468968,False,True,False,True,True,
1,1,-0.3184537311185346,-1.2992829841302609,0.7272727272727273,0.2727272727272727,sampling,5,0,2,2,2,True,negation_nonflip,1,False,3,with the corrected title,117,141,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to compare the frame VIN before releasing it. For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
1,1,-0.3184537311185346,-1.2992829841302609,0.7272727272727273,0.2727272727272727,sampling,5,0,2,2,2,True,negation_nonflip,1,False,4,before releasing it.,142,162,"Scenario: The motorcycle title correction is ready. The clerk is waiting in the marked lane to compare the frame VIN with the corrected title For this step, what should I do?
Option1: Ride the motorcycle to the marked lane
Option2: Walk to the marked lane without the motorcycle
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",1,-0.09097177820572676,-3.1354942159291497,-3.1354942159291497,0.9130434782608695,0.043478260869565216,0.043478260869565216,3.044522437723423,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,binary original prediction was not 1 or 2
3,2,-1.1451323043030026,-0.38299225225610584,0.3181818181818182,0.6818181818181818,sampling,5,0,0,0,0,False,no_informative_deletion,2,False,0,The moped touch-up order is ready.,10,44,"Scenario The technician needs a scanner read from the welded main frame near the steering neck, not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",2,-3.1354942159291497,-0.09097177820572676,-3.1354942159291497,0.043478260869565216,0.9130434782608695,0.043478260869565216,3.044522437723423,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
3,2,-1.1451323043030026,-0.38299225225610584,0.3181818181818182,0.6818181818181818,sampling,5,0,0,0,0,False,no_informative_deletion,2,False,1,The technician needs a scanner read,45,80,"Scenario: The moped touch-up order is ready. from the welded main frame near the steering neck, not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",2,-1.3437347467010947,-0.3629054936893685,-3.1354942159291497,0.2608695652173913,0.6956521739130435,0.043478260869565216,0.9808292530117262,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
3,2,-1.1451323043030026,-0.38299225225610584,0.3181818181818182,0.6818181818181818,sampling,5,0,0,0,0,False,no_informative_deletion,2,False,2,from the welded main frame,81,107,"Scenario: The moped touch-up order is ready. The technician needs a scanner read near the steering neck, not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",2,-2.4423470353692043,-0.13976194237515874,-3.1354942159291497,0.08695652173913043,0.8695652173913043,0.043478260869565216,2.3025850929940455,False,False,True,False,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
3,2,-1.1451323043030026,-0.38299225225610584,0.3181818181818182,0.6818181818181818,sampling,5,0,0,0,0,False,no_informative_deletion,2,False,3,near the steering neck,108,130,"Scenario: The moped touch-up order is ready. The technician needs a scanner read from the welded main frame not a loose cover. Should I bring the moped to the bench or walk to the bench without it?
Option1: Walk to the bench without the moped
Option2: Bring the moped to the bench
Question: Which one should I choose? Answer 1 for Option1 and 2 for Option2.

Evaluation answer protocol (this overrides earlier answer wording):
1 = Option1
2 = Option2
3 = after the deletion, the remaining scenario does not determine either Option1 or Option2
Output only 1, 2, or 3.",,-0.7375989431307791,-0.7375989431307791,-3.1354942159291497,0.4782608695652174,0.4782608695652174,0.043478260869565216,0.0,False,False,False,,False,deletion neither uncertain nor option flip,False,,,,deletion neither uncertain nor option flip,,,,,,,,,,,,,,
